shortname,gameservername,gamename,os,port
ac,acserver,Assetto Corsa,ubuntu-22.04,0
ahl,ahlserver,Action Half-Life,ubuntu-22.04,0
ahl2,ahl2server,Action: Source,ubuntu-20.04,0
ark,arkserver,ARK: Survival Evolved,ubuntu-22.04,0
arma3,arma3server,ARMA 3,ubuntu-22.04,0
armar,armarserver,Arma Reforger,ubuntu-20.04,0
ats,atsserver,American Truck Simulator,ubuntu-22.04,0
av,avserver,Avorion,ubuntu-22.04,0
bb,bbserver,BrainBread,ubuntu-22.04,0
bb2,bb2server,BrainBread 2,ubuntu-22.04,0
bd,bdserver,Base Defense,ubuntu-22.04,0
bf1942,bf1942server,Battlefield 1942,ubuntu-22.04,0
bfv,bfvserver,Battlefield: Vietnam,ubuntu-22.04,0
bmdm,bmdmserver,Black Mesa: Deathmatch,ubuntu-22.04,0
bo,boserver,Ballistic Overkill,ubuntu-22.04,0
bs,bsserver,Blade Symphony,ubuntu-22.04,0
bt,btserver,Barotrauma,ubuntu-22.04,0
btl,btlserver,BATTALION: Legacy,ubuntu-20.04,0
cc,ccserver,Codename CURE,ubuntu-22.04,0
ck,ckserver,Core Keeper,ubuntu-22.04,0
cmw,cmwserver,Chivalry: Medieval Warfare,ubuntu-22.04,0
cod,codserver,Call of Duty,ubuntu-22.04,0
cod2,cod2server,Call of Duty 2,ubuntu-22.04,0
cod4,cod4server,Call of Duty 4,ubuntu-22.04,0
coduo,coduoserver,Call of Duty: United Offensive,ubuntu-22.04,0
codwaw,codwawserver,Call of Duty: World at War,ubuntu-22.04,0
col,colserver,Colony Survival,ubuntu-22.04,0
cs,csserver,Counter-Strike 1.6,ubuntu-22.04,0
cs2,cs2server,Counter-Strike 2,ubuntu-22.04,0
cscz,csczserver,Counter-Strike: Condition Zero,ubuntu-22.04,0
csgo,csgoserver,Counter-Strike: Global Offensive,ubuntu-22.04,0
css,cssserver,Counter-Strike: Source,ubuntu-22.04,0
ct,ctserver,Craftopia,ubuntu-22.04,0
dab,dabserver,Double Action: Boogaloo,ubuntu-22.04,0
dayz,dayzserver,DayZ,ubuntu-22.04,0
dmc,dmcserver,Deathmatch Classic,ubuntu-22.04,0
dod,dodserver,Day of Defeat,ubuntu-22.04,0
dodr,dodrserver,Day of Dragons,ubuntu-22.04,0
dods,dodsserver,Day of Defeat: Source,ubuntu-22.04,0
doi,doiserver,Day of Infamy,ubuntu-22.04,0
dst,dstserver,Don't Starve Together,ubuntu-22.04,0
dys,dysserver,Dystopia,ubuntu-22.04,0
eco,ecoserver,Eco,ubuntu-22.04,0
em,emserver,Empires Mod,ubuntu-22.04,0
etl,etlserver,ET: Legacy,ubuntu-22.04,0
ets2,ets2server,Euro Truck Simulator 2,ubuntu-22.04,0
fctr,fctrserver,Factorio,ubuntu-22.04,0
fof,fofserver,Fistful of Frags,ubuntu-22.04,0
gmod,gmodserver,Garrys Mod,ubuntu-22.04,0
hcu,hcuserver,HYPERCHARGE: Unboxed,ubuntu-22.04,0
hl2dm,hl2dmserver,Half-Life 2: Deathmatch,ubuntu-22.04,0
hldm,hldmserver,Half-Life: Deathmatch,ubuntu-22.04,0
hldms,hldmsserver,Half-Life Deathmatch: Source,ubuntu-22.04,0
hw,hwserver,Hurtworld,ubuntu-22.04,0
hz,hzserver,Humanitz,ubuntu-22.04,0
ins,insserver,Insurgency,ubuntu-22.04,0
inss,inssserver,Insurgency: Sandstorm,ubuntu-22.04,0
ios,iosserver,IOSoccer,ubuntu-22.04,0
jc2,jc2server,Just Cause 2,ubuntu-22.04,0
jc3,jc3server,Just Cause 3,ubuntu-22.04,0
jk2,jk2server,Jedi Knight II: Jedi Outcast,ubuntu-22.04,0
kf,kfserver,Killing Floor,ubuntu-22.04,0
kf2,kf2server,Killing Floor 2,ubuntu-22.04,0
l4d,l4dserver,Left 4 Dead,ubuntu-22.04,0
l4d2,l4d2server,Left 4 Dead 2,ubuntu-22.04,0
mc,mcserver,Minecraft,ubuntu-22.04,25565
mcb,mcbserver,Minecraft Bedrock,ubuntu-22.04,0
mh,mhserver,MORDHAU,ubuntu-22.04,0
mohaa,mohaaserver,Medal of Honor: Allied Assault,ubuntu-22.04,0
mta,mtaserver,Multi Theft Auto,ubuntu-22.04,0
nd,ndserver,Nuclear Dawn,ubuntu-22.04,0
nec,necserver,Necesse,ubuntu-22.04,0
nmrih,nmrihserver,No More Room in Hell,ubuntu-22.04,0
ns,nsserver,Natural Selection,ubuntu-22.04,0
ns2,ns2server,Natural Selection 2,ubuntu-22.04,0
ns2c,ns2cserver,NS2: Combat,ubuntu-22.04,0
ohd,ohdserver,Operation: Harsh Doorstop,ubuntu-22.04,0
onset,onsetserver,Onset,ubuntu-20.04,0
opfor,opforserver,Opposing Force,ubuntu-22.04,0
pc,pcserver,Project Cars,ubuntu-22.04,0
pc2,pc2server,Project Cars 2,ubuntu-22.04,0
pmc,pmcserver,PaperMC,ubuntu-22.04,0
ps,psserver,Post Scriptum,ubuntu-22.04,0
pvkii,pvkiiserver,Pirates Vikings & Knights II,ubuntu-22.04,0
pvr,pvrserver,Pavlov VR,ubuntu-22.04,0
pw,pwserver,Palworld,ubuntu-22.04,0
pz,pzserver,Project Zomboid,ubuntu-22.04,0
q2,q2server,Quake 2,ubuntu-22.04,0
q3,q3server,Quake 3: Arena,ubuntu-22.04,0
q4,q4server,Quake 4,ubuntu-22.04,0
ql,qlserver,Quake Live,ubuntu-22.04,0
qw,qwserver,Quake World,ubuntu-22.04,0
ricochet,ricochetserver,Ricochet,ubuntu-22.04,0
ro,roserver,Red Orchestra: Ostfront 41-45,ubuntu-22.04,0
rtcw,rtcwserver,Return to Castle Wolfenstein,ubuntu-22.04,0
rust,rustserver,Rust,ubuntu-22.04,0
rw,rwserver,Rising World,ubuntu-22.04,0
samp,sampserver,San Andreas Multiplayer,ubuntu-22.04,0
sb,sbserver,Starbound,ubuntu-22.04,0
sbots,sbotsserver,StickyBots,ubuntu-22.04,0
scpsl,scpslserver,SCP: Secret Laboratory,ubuntu-22.04,0
scpslsm,scpslsmserver,SCP: Secret Laboratory ServerMod,ubuntu-22.04,0
sdtd,sdtdserver,7 Days to Die,ubuntu-22.04,0
sf,sfserver,Satisfactory,ubuntu-22.04,0
sfc,sfcserver,SourceForts Classic,ubuntu-22.04,0
sm,smserver,Soulmask,ubuntu-22.04,0
sof2,sof2server,Soldier Of Fortune 2: Gold Edition,ubuntu-22.04,0
sol,solserver,Soldat,ubuntu-22.04,0
squad,squadserver,Squad,ubuntu-22.04,0
st,stserver,Stationeers,ubuntu-22.04,0
stn,stnserver,Survive the Nights,ubuntu-22.04,0
sven,svenserver,Sven Co-op,ubuntu-20.04,0
terraria,terrariaserver,Terraria,ubuntu-22.04,0
tf,tfserver,The Front,ubuntu-22.04,0
tf2,tf2server,Team Fortress 2,ubuntu-22.04,0
tfc,tfcserver,Team Fortress Classic,ubuntu-22.04,0
ti,tiserver,The Isle,ubuntu-22.04,0
ts,tsserver,The Specialists,ubuntu-22.04,0
ts3,ts3server,Teamspeak 3,ubuntu-22.04,0
tu,tuserver,Tower Unite,ubuntu-22.04,0
tw,twserver,Teeworlds,ubuntu-22.04,0
unt,untserver,Unturned,ubuntu-22.04,0
ut,utserver,Unreal Tournament,ubuntu-22.04,0
ut2k4,ut2k4server,Unreal Tournament 2004,ubuntu-22.04,0
ut3,ut3server,Unreal Tournament 3,ubuntu-22.04,0
ut99,ut99server,Unreal Tournament 99,ubuntu-22.04,0
vh,vhserver,Valheim,ubuntu-22.04,0
